event_type_count,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,sts_miner,10000,2987,2705,True,4.413361417000033,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_010000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_010000_metadata.json,282.0,0.09440910612654838,449.0,250.0,120.0,1.0,33.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_010000_attempts.csv
15,stbfm,10000,2987,2705,True,1.0288411670001096,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_010000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_010000_metadata.json,282.0,0.09440910612654838,449.0,250.0,120.0,0.0,40.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_010000_attempts.csv
15,online_stsp,10500,67,67,True,2.373815624999999,48.978997125,0.0014121250000016516,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_010500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_010500_metadata.json,,,,,,,,
15,sts_miner,10500,67,64,True,0.698210083000049,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_010500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_010500_metadata.json,3.0,0.04477611940298507,11.0,250.0,15.0,288.0,13.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_010500_attempts.csv
15,stbfm,10500,67,78,True,0.5805651670000316,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_010500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_010500_metadata.json,11.0,0.16417910447761194,11.0,250.0,30.0,0.0078125,19.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_010500_attempts.csv
15,online_stsp,11000,4847,4847,True,2.483172332999999,51.462169458,0.07093629100000243,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_011000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_011000_metadata.json,,,,,,,,
15,sts_miner,11000,4847,5452,True,6.534969457999978,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_011000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_011000_metadata.json,605.0,0.12481947596451413,728.0,250.0,240.0,64.0,50.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_011000_attempts.csv
15,stbfm,11000,4847,4970,True,1.0189596660000007,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_011000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_011000_metadata.json,123.0,0.025376521559727666,728.0,1000.0,30.0,0.0078125,119.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_011000_attempts.csv
15,online_stsp,11500,234,234,True,2.276058292000002,53.73822775,0.0030987089999996442,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_011500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_011500_metadata.json,,,,,,,,
15,sts_miner,11500,234,237,True,0.9845355840000138,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_011500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_011500_metadata.json,3.0,0.01282051282051282,36.0,250.0,15.0,96.0,9.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_011500_attempts.csv
15,stbfm,11500,234,208,True,0.8106393750001644,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_011500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_011500_metadata.json,26.0,0.1111111111111111,36.0,250.0,60.0,0.00390625,30.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_011500_attempts.csv
15,online_stsp,12000,219,219,True,2.421993125,56.160220875,0.0019984169999958112,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_012000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_012000_metadata.json,,,,,,,,
15,sts_miner,12000,219,206,True,0.9882174580000083,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_012000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_012000_metadata.json,13.0,0.0593607305936073,33.0,250.0,15.0,128.0,9.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_012000_attempts.csv
