event_type_count,online_theta,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
25,0.15,stbfm,17000,1084,1032,True,1.9654310409678146,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_017000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_017000_metadata.json,52.0,0.04797047970479705,109.0,500.0,60.0,0.01171875,80.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_017000_attempts.csv
25,0.15,online_stsp,17500,2636,2636,True,5.027493583038449,169.48653799999738,0.03460300003644079,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_017500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_017500_metadata.json,,,,,,,,
25,0.15,sts_miner,17500,2636,2580,True,7.263592874980532,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_017500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_017500_metadata.json,56.0,0.021244309559939303,264.0,250.0,60.0,96.0,29.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_017500_attempts.csv
25,0.15,stbfm,17500,2636,2524,True,2.888743041025009,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_017500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_017500_metadata.json,112.0,0.042488619119878605,264.0,500.0,120.0,0.015625,88.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_017500_attempts.csv
25,0.15,online_stsp,18000,308,308,True,4.0711333329672925,173.55767133296467,0.00403000001097098,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_018000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_018000_metadata.json,,,,,,,,
25,0.15,sts_miner,18000,308,278,True,1.8525052920449525,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_018000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_018000_metadata.json,30.0,0.09740259740259741,31.0,250.0,15.0,320.0,12.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_018000_attempts.csv
25,0.15,stbfm,18000,308,286,True,1.617797790968325,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_018000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_018000_metadata.json,22.0,0.07142857142857142,31.0,250.0,60.0,0.0078125,29.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_018000_attempts.csv
25,0.15,online_stsp,18500,523,523,True,4.752048709022347,178.30972004198702,0.006633208016864955,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_018500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_018500_metadata.json,,,,,,,,
25,0.15,sts_miner,18500,523,515,True,2.673922166984994,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_018500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_018500_metadata.json,8.0,0.015296367112810707,53.0,250.0,15.0,160.0,11.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_018500_attempts.csv
25,0.15,stbfm,18500,523,486,True,2.3973150000092573,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_018500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_018500_metadata.json,37.0,0.07074569789674952,53.0,250.0,120.0,0.0078125,39.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_018500_attempts.csv
25,0.15,online_stsp,19000,182,182,True,4.128788875008468,182.4385089169955,0.002141958975698799,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_019000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/online/online_snapshot_019000_metadata.json,,,,,,,,
25,0.15,sts_miner,19000,182,167,True,1.5854075000388548,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_019000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_019000_metadata.json,15.0,0.08241758241758242,19.0,250.0,15.0,448.0,12.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/sts_miner/sts_miner_019000_attempts.csv
25,0.15,stbfm,19000,182,172,True,1.2760420420090668,,,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_019000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_019000_metadata.json,10.0,0.054945054945054944,19.0,250.0,30.0,0.0078125,19.0,Results/Quantitative_experiment/run_20260521_144433/event_types_25/theta_0_15/stbfm/stbfm_019000_attempts.csv
