algorithm,online_theta,event_count,pattern_count,significant_synapse_count,interval_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path
online_stsp,0.2,37000,529,230,2.3659845840011258,198.58852458401816,0.00585337498341687,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_037000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_037000_metadata.json
online_stsp,0.2,37500,674,289,2.8035238749871496,201.3920484590053,0.06952245900174603,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_037500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_037500_metadata.json
online_stsp,0.2,38000,990,432,2.510476124996785,203.9025245840021,0.01071745899389498,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_038000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_038000_metadata.json
online_stsp,0.2,38500,261,151,3.0426177500048652,206.94514233400696,0.0027604170027188957,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_038500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_038500_metadata.json
online_stsp,0.2,39000,84,74,2.7417969579983037,209.68693929200526,0.0008195409900508821,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_039000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_039000_metadata.json
online_stsp,0.2,39500,385,228,2.7917214170156512,212.47866070902091,0.0039059999980963767,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_039500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_039500_metadata.json
online_stsp,0.2,40000,809,297,2.791129165998427,215.26978987501934,0.009585082996636629,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_040000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_040000_metadata.json
online_stsp,0.2,40500,386,196,2.6342947499942966,217.90408462501364,0.0038070410082582384,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_040500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_040500_metadata.json
online_stsp,0.2,41000,385,225,2.8644061670056544,220.7684907920193,0.0036290420102886856,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_041000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_041000_metadata.json
online_stsp,0.2,41500,843,266,2.883386999979848,223.65187779199914,0.01055345797794871,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_041500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_041500_metadata.json
online_stsp,0.2,42000,210,159,2.6957549170183484,226.3476327090175,0.002211959013948217,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_042000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_042000_metadata.json
online_stsp,0.2,42500,185,124,2.7334995830024127,229.0811322920199,0.0016592920001130551,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_042500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_042500_metadata.json
online_stsp,0.2,43000,0,0,2.9107867919956334,231.99191908401554,5.19170134793967e-05,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_043000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_043000_metadata.json
online_stsp,0.2,43500,82,69,2.898071915988112,234.88999100000365,0.0007655409863218665,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_043500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_043500_metadata.json
online_stsp,0.2,44000,710,332,2.3433132499922067,237.23330424999585,0.007549166999524459,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_044000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_044000_metadata.json
online_stsp,0.2,44500,494,239,2.774851167021552,240.0081554170174,0.005453457997646183,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_044500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_044500_metadata.json
online_stsp,0.2,45000,211,162,2.8885592079896014,242.896714625007,0.0019798749999608845,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_045000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_045000_metadata.json
online_stsp,0.2,45500,125,95,2.754464208992431,245.65117883399944,0.0013377089926507324,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_045500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_045500_metadata.json
online_stsp,0.2,46000,667,232,2.707630375021836,248.35880920902127,0.007302707992494106,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_046000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_046000_metadata.json
online_stsp,0.2,46500,349,192,2.7883791249769274,251.1471883339982,0.0034459999878890812,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_046500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_046500_metadata.json
online_stsp,0.2,47000,515,285,2.4943872500152793,253.64157558401348,0.00546704200678505,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_047000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_047000_metadata.json
online_stsp,0.2,47500,824,336,2.8279853749845643,256.46956095899804,0.009038583986693993,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_047500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_047500_metadata.json
online_stsp,0.2,48000,65,65,2.710087083018152,259.1796480420162,0.0007495419995393604,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_048000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_048000_metadata.json
online_stsp,0.2,48500,148,52,2.3067483750055544,261.48639641702175,0.0017653749964665622,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_048500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_048500_metadata.json
online_stsp,0.2,49000,167,139,2.487301249988377,263.97369766701013,0.0013727089972235262,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_049000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_049000_metadata.json
online_stsp,0.2,49500,93,74,2.3503021670039743,266.3239998340141,0.0009239579958375543,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_049500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_049500_metadata.json
online_stsp,0.2,50000,287,194,2.6722666659916285,268.99626650000573,0.002768874983303249,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_050000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_050000_metadata.json
